i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
-12711587,1,3622.6604,-12715209,-12715209.6604,0.660399999469519,-0.00000519377986763565%,,,,,,,,,
3622.6604,1,-12711587,12715209,12715209.6604,-0.660399999469519,-0.00000519377986763565%,,,,,,,,,
1465812.375,0,89239.4375,1555051.75,1555051.8125,-0.0625,-0.00000401915868639264%,,,,,,,,,
89239.4375,0,1465812.375,1555051.75,1555051.8125,-0.0625,-0.00000401915868639264%,,,,,,,,,
1465812.375,1,89239.4375,1376572.875,1376572.9375,-0.0625,-0.00000454026069359656%,,,,,,,,,
89239.4375,1,1465812.375,-1376572.875,-1376572.9375,0.0625,-0.00000454026069359656%,,,,,,,,,
-5216157,0,40034.8516,-5176122.5,-5176122.1484,-0.351599999703467,0.00000679272995541944%,,,,,,,,,
40034.8516,0,-5216157,-5176122.5,-5176122.1484,-0.351599999703467,0.00000679272995541944%,,,,,,,,,
-5216157,1,40034.8516,-5256191.5,-5256191.8516,0.351599999703467,-0.00000668925354382639%,,,,,,,,,
40034.8516,1,-5216157,5256191.5,5256191.8516,-0.351599999703467,-0.00000668925354382639%,,,,,,,,,
4173873,0,72986.5547,4246859.5,4246859.5547,-0.0547000002115965,-0.00000128801057598102%,,,,,,,,,
72986.5547,0,4173873,4246859.5,4246859.5547,-0.0547000002115965,-0.00000128801057598102%,,,,,,,,,
4173873,1,72986.5547,4100886.5,4100886.4453,0.0547000002115965,0.00000133385795830284%,,,,,,,,,
72986.5547,1,4173873,-4100886.5,-4100886.4453,-0.0547000002115965,0.00000133385795830284%,,,,,,,,,
-7696068.5,0,72071.8438,-7623997,-7623996.6562,-0.343799999915063,0.00000450944583816780%,,,,,,,,,
72071.8438,0,-7696068.5,-7623997,-7623996.6562,-0.343799999915063,0.00000450944583816780%,,,,,,,,,
-7696068.5,1,72071.8438,-7768140,-7768140.3438,0.343799999915063,-0.00000442576967844641%,,,,,,,,,
72071.8438,1,-7696068.5,7768140,7768140.3438,-0.343799999915063,-0.00000442576967844641%,,,,,,,,,
9904205,0,1783.4176,9905989,9905988.4176,0.582399999722838,0.00000587927196329128%,,,,,,,,,
1783.4176,0,9904205,9905989,9905988.4176,0.582399999722838,0.00000587927196329128%,,,,,,,,,
9904205,1,1783.4176,9902421,9902421.5824,-0.582399999722838,-0.00000588138966692716%,,,,,,,,,
1783.4176,1,9904205,-9902421,-9902421.5824,0.582399999722838,-0.00000588138966692716%,,,,,,,,,
10898797,0,30962.4688,10929760,10929759.4688,0.531199999153614,0.00000486012524493309%,,,,,,,,,
30962.4688,0,10898797,10929760,10929759.4688,0.531199999153614,0.00000486012524493309%,,,,,,,,,
10898797,1,30962.4688,10867834,10867834.5312,-0.531199999153614,-0.00000488781824593128%,,,,,,,,,
30962.4688,1,10898797,-10867834,-10867834.5312,0.531199999153614,-0.00000488781824593128%,,,,,,,,,
6420469.5,0,62275.168,6482745,6482744.668,0.332000000402331,0.00000512128762437835%,,,,,,,,,
62275.168,0,6420469.5,6482745,6482744.668,0.332000000402331,0.00000512128762437835%,,,,,,,,,
6420469.5,1,62275.168,6358194,6358194.332,-0.332000000402331,-0.00000522160825961888%,,,,,,,,,
62275.168,1,6420469.5,-6358194,-6358194.332,0.332000000402331,-0.00000522160825961888%,,,,,,,,,
3749693,0,40239.9375,3789933,3789932.9375,0.0625,0.00000164910569740128%,,,,,,,,,
40239.9375,0,3749693,3789933,3789932.9375,0.0625,0.00000164910569740128%,,,,,,,,,
3749693,1,40239.9375,3709453,3709453.0625,-0.0625,-0.00000168488450849619%,,,,,,,,,
40239.9375,1,3749693,-3709453,-3709453.0625,0.0625,-0.00000168488450849619%,,,,,,,,,
